yil,ilce,erkek,kadin,toplam
2018,Buca,499325,249543,249782
2018,Karabağlar,479986,236677,243309
2018,Bornova,445232,221092,224140
2018,Konak,356563,174066,182497
2018,Karşıyaka,344140,161345,182795
2018,Bayraklı,311524,154715,156809
2018,Çiğli,194525,96838,97687
2018,Torbalı,178772,90173,88599
2018,Menemen,174564,89163,85401
2018,Gaziemir,137553,70309,67244
2018,Ödemiş,132511,65990,66521
2018,Kemalpaşa,106298,53975,52323
2018,Bergama,103185,51920,51265
2018,Aliağa,95392,52320,43072
2018,Menderes,93796,47316,46480
2018,Tire,84457,41552,42905
2018,Balçova,79357,38834,40523
2018,Urla,66360,33397,32963
2018,Narlıdere,66203,33765,32438
2018,Dikili,44172,22089,22083
2018,Kiraz,43989,22264,21725
2018,Seferihisar,43546,22361,21185
2018,Çeşme,43489,22041,21448
2018,Bayındır,40584,20141,20443
2018,Selçuk,36360,18125,18235
2018,Foça,33131,19790,13341
2018,Güzelbahçe,32592,15764,16828
2018,Kınık,29803,15267,14536
2018,Beydağ,12507,6264,6243
2018,Karaburun,10603,5489,5114
2019,Buca,510695,255721,254974
2019,Karabağlar,480925,236937,243988
2019,Bornova,450992,223684,227308
2019,Konak,351572,171491,180081
2019,Karşıyaka,349290,163693,185597
2019,Bayraklı,312264,155184,157080
2019,Çiğli,200211,100007,100204
2019,Torbalı,185908,93994,91914
2019,Menemen,179881,91913,87968
2019,Gaziemir,137808,69768,68040
2019,Ödemiş,132876,66356,66520
2019,Kemalpaşa,107556,54758,52798
2019,Bergama,103867,52355,51512
2019,Menderes,97123,49021,48102
2019,Aliağa,96974,52739,44235
2019,Tire,84804,41828,42976
2019,Balçova,79681,38922,40759
2019,Urla,67339,33716,33623
2019,Narlıdere,65737,33352,32385
2019,Seferihisar,44526,22400,22126
2019,Çeşme,44363,22592,21771
2019,Kiraz,43925,22246,21679
2019,Dikili,43806,21927,21879
2019,Bayındır,40414,20130,20284
2019,Selçuk,36824,18403,18421
2019,Güzelbahçe,33725,16236,17489
2019,Foça,32264,18705,13559
2019,Kınık,28802,14514,14288
2019,Beydağ,12340,6182,6158
2019,Karaburun,10759,5545,5214
2020,Buca,507773,252956,254817
2020,Karabağlar,479592,236400,243192
2020,Bornova,446927,222392,224535
2020,Karşıyaka,350100,163902,186198
2020,Konak,344678,168300,176378
2020,Bayraklı,306988,152567,154421
2020,Çiğli,204549,102183,102366
2020,Torbalı,194285,97992,96293
2020,Menemen,186182,95118,91064
2020,Gaziemir,138519,70003,68516
2020,Ödemiş,133679,66634,67045
2020,Kemalpaşa,110209,55918,54291
2020,Bergama,104944,52672,52272
2020,Menderes,101338,51103,50235
2020,Aliağa,101242,55293,45949
2020,Tire,86315,42543,43772
2020,Balçova,78804,38607,40197
2020,Urla,69550,34820,34730
2020,Narlıdere,65178,32972,32206
2020,Seferihisar,48320,24246,24074
2020,Çeşme,46093,23464,22629
2020,Dikili,45217,22571,22646
2020,Kiraz,44105,22387,21718
2020,Bayındır,40418,20077,20341
2020,Selçuk,37386,18625,18761
2020,Güzelbahçe,36727,18198,18529
2020,Foça,33227,18921,14306
2020,Kınık,28691,14306,14385
2020,Beydağ,12329,6184,6145
2020,Karaburun,11329,5872,5457
2021,Buca,517963,257169,260794
2021,Karabağlar,478788,235862,242926
2021,Bornova,452867,224889,227978
2021,Karşıyaka,347023,162189,184834
2021,Konak,336545,164439,172106
2021,Bayraklı,296839,147606,149233
2021,Çiğli,209951,104609,105342
2021,Torbalı,201476,101543,99933
2021,Menemen,193229,98451,94778
2021,Gaziemir,137856,69308,68548
2021,Ödemiş,132769,66077,66692
2021,Kemalpaşa,112049,56978,55071
2021,Bergama,104980,52773,52207
2021,Menderes,104147,52432,51715
2021,Aliağa,103364,56673,46691
2021,Tire,86758,42773,43985
2021,Balçova,80513,39422,41091
2021,Urla,72741,36339,36402
2021,Narlıdere,63438,31253,32185
2021,Seferihisar,52507,26270,26237
2021,Çeşme,48167,24477,23690
2021,Dikili,46587,23254,23333
2021,Kiraz,43674,22172,21502
2021,Bayındır,40049,19937,20112
2021,Selçuk,37689,18771,18918
2021,Güzelbahçe,37572,18481,19091
2021,Foça,33611,18642,14969
2021,Kınık,28513,14191,14322
2021,Beydağ,12197,6128,6069
2021,Karaburun,11927,6179,5748
2022,Buca,522404,260026,262378
2022,Karabağlar,479338,235831,243507
2022,Bornova,454470,223915,230555
2022,Karşıyaka,346264,161749,184515
2022,Konak,332277,162212,170065
2022,Bayraklı,298519,148489,150030
2022,Çiğli,214065,106630,107435
2022,Torbalı,207840,104744,103096
2022,Menemen,200904,102544,98360
2022,Gaziemir,137754,68981,68773
2022,Ödemiş,132740,66188,66552
2022,Kemalpaşa,114250,58122,56128
2022,Menderes,106173,53426,52747
2022,Bergama,105754,53057,52697
2022,Aliağa,104828,57405,47423
2022,Tire,87462,43091,44371
2022,Balçova,80721,39970,40751
2022,Urla,74736,37279,37457
2022,Narlıdere,62923,30653,32270
2022,Seferihisar,54993,27387,27606
2022,Çeşme,48924,24815,24109
2022,Dikili,47360,23591,23769
2022,Kiraz,43510,22085,21425
2022,Bayındır,40073,19961,20112
2022,Selçuk,38151,18987,19164
2022,Güzelbahçe,37753,18338,19415
2022,Foça,34946,19575,15371
2022,Kınık,28694,14276,14418
2022,Karaburun,12200,6331,5869
2022,Beydağ,12030,6058,5972